tick,len,raw,comp,ratio
560,6,24,16,1.5
561,6,24,16,1.5
562,6,24,16,1.5
563,6,24,16,1.5
564,6,24,16,1.5
565,6,24,16,1.5
566,6,24,16,1.5
567,6,24,16,1.5
568,6,24,16,1.5
569,6,24,16,1.5
570,6,24,16,1.5
571,6,24,16,1.5
572,6,24,16,1.5
573,6,24,16,1.5
574,6,24,16,1.5
575,6,24,16,1.5
576,6,24,16,1.5
577,6,24,16,1.5
578,6,24,16,1.5
579,6,24,16,1.5
580,6,24,16,1.5
581,6,24,16,1.5
582,6,24,16,1.5
583,6,24,16,1.5
584,6,24,16,1.5
585,6,24,16,1.5
586,6,24,16,1.5
587,6,24,16,1.5
588,6,24,16,1.5
589,6,24,16,1.5
590,6,24,16,1.5
591,6,24,16,1.5
592,6,24,16,1.5
593,6,24,16,1.5
594,6,24,16,1.5
595,6,24,16,1.5
596,6,24,16,1.5
597,6,24,16,1.5
598,6,24,16,1.5
599,6,24,16,1.5
600,6,24,16,1.5
601,6,24,16,1.5
602,6,24,16,1.5
603,6,24,16,1.5
604,6,24,16,1.5
605,6,24,16,1.5
606,6,24,16,1.5
607,6,24,16,1.5
608,6,24,16,1.5
609,6,24,16,1.5
610,6,24,16,1.5
611,6,24,16,1.5
612,6,24,16,1.5
613,6,24,16,1.5
614,6,24,16,1.5
615,6,24,16,1.5
616,6,24,16,1.5
617,6,24,16,1.5
618,6,24,16,1.5
619,6,24,16,1.5
620,6,24,16,1.5
621,6,24,16,1.5
622,6,24,16,1.5
623,6,24,16,1.5
624,6,24,16,1.5
625,6,24,16,1.5
626,6,24,16,1.5
627,6,24,16,1.5
628,6,24,16,1.5
629,6,24,16,1.5
630,6,24,16,1.5
631,6,24,16,1.5
632,6,24,16,1.5
633,6,24,16,1.5
634,6,24,16,1.5
635,6,24,16,1.5
636,6,24,16,1.5
637,6,24,16,1.5
638,6,24,16,1.5
639,6,24,16,1.5
640,6,24,16,1.5
641,6,24,16,1.5
642,6,24,16,1.5
643,6,24,16,1.5
644,6,24,16,1.5
645,6,24,16,1.5
646,6,24,16,1.5
647,6,24,16,1.5
648,6,24,16,1.5
649,6,24,16,1.5
650,6,24,16,1.5
651,6,24,16,1.5
652,6,24,16,1.5
653,6,24,16,1.5
654,6,24,16,1.5
655,6,24,16,1.5
656,6,24,16,1.5
657,6,24,16,1.5
658,6,24,16,1.5
659,6,24,16,1.5
660,6,24,16,1.5
661,6,24,16,1.5
662,6,24,16,1.5
663,6,24,16,1.5
664,6,24,16,1.5
665,6,24,16,1.5
666,6,24,16,1.5
667,6,24,16,1.5
668,6,24,16,1.5
669,6,24,16,1.5
670,6,24,16,1.5
671,6,24,16,1.5
672,6,24,16,1.5
673,6,24,16,1.5
674,6,24,16,1.5
675,6,24,16,1.5
676,6,24,16,1.5
677,6,24,16,1.5
678,6,24,16,1.5
679,6,24,16,1.5
680,6,24,16,1.5
681,6,24,16,1.5
682,6,24,16,1.5
683,6,24,16,1.5
684,6,24,16,1.5
685,6,24,16,1.5
686,6,24,16,1.5
687,6,24,16,1.5
688,6,24,16,1.5
689,6,24,16,1.5
690,6,24,16,1.5
691,6,24,16,1.5
692,6,24,16,1.5
693,6,24,16,1.5
694,6,24,16,1.5
695,6,24,16,1.5
696,6,24,16,1.5
697,6,24,16,1.5
698,6,24,16,1.5
699,6,24,16,1.5
700,6,24,16,1.5
701,6,24,16,1.5
702,6,24,16,1.5
703,6,24,16,1.5
