ts,step,loss,lr,tokens_per_sec,step_ms
1770824545.060439,63,4.266099,0.0003,2254.99,113.53
1770824545.173320,64,4.160002,0.0003,2275.19,112.52
1770824545.280460,65,4.239500,0.0003,2395.79,106.85
1770824545.392669,66,4.179001,0.0003,2287.49,111.91
1770824545.508547,67,4.219717,0.0003,2214.94,115.58
1770824545.623522,68,4.212331,0.0003,2231.75,114.71
1770824545.738319,69,4.218456,0.0003,2235.54,114.51
1770824545.850821,70,4.185734,0.0003,2282.58,112.15
1770824545.960929,71,4.212875,0.0003,2332.83,109.74
1770824546.076246,72,4.230767,0.0003,2225.93,115.01
1770824546.188104,73,4.196557,0.0003,2294.53,111.57
1770824546.302132,74,4.229494,0.0003,2251.28,113.71
1770824546.413303,75,4.200868,0.0003,2309.97,110.82
1770824546.525840,76,4.142524,0.0003,2281.27,112.22
1770824546.642958,77,4.142628,0.0003,2191.57,116.81
1770824546.754198,78,4.159354,0.0003,2310.10,110.82
1770824546.867952,79,4.197945,0.0003,2257.17,113.42
1770824546.983333,80,4.174692,0.0003,2226.32,114.99
1770824547.097264,81,4.186464,0.0003,2255.74,113.49
1770824547.210730,82,4.252509,0.0003,2265.95,112.98
1770824547.320289,83,4.202329,0.0003,2345.31,109.15
1770824547.439505,84,4.204877,0.0003,2152.56,118.93
1770824547.550465,85,4.221669,0.0003,2312.99,110.68
1770824547.662989,86,4.208278,0.0003,2281.31,112.22
1770824547.773401,87,4.253874,0.0003,2325.05,110.11
1770824547.888454,88,4.170558,0.0003,2230.49,114.77
1770824548.010233,89,4.239455,0.0003,2107.24,121.49
1770824548.131063,90,4.251175,0.0003,2124.48,120.50
1770824548.244809,91,4.218368,0.0003,2256.88,113.43
1770824548.360927,92,4.136349,0.0003,2211.34,115.77
1770824548.478627,93,4.213851,0.0003,2181.32,117.36
1770824548.594242,94,4.162204,0.0003,2219.69,115.33
1770824548.711222,95,4.168086,0.0003,2194.47,116.66
1770824548.825583,96,4.210009,0.0003,2244.18,114.07
1770824548.935030,97,4.231890,0.0003,2345.31,109.15
1770824549.049486,98,4.190580,0.0003,2241.60,114.20
1770824549.165153,99,4.132691,0.0003,2219.06,115.36
1770824549.279766,100,4.216288,0.0003,2239.58,114.31
