ts,step,loss,lr,tokens_per_sec,step_ms
1770824430.086735,53,4.187894,0.0003,2058.06,124.39
1770824430.213019,54,4.197711,0.0003,2033.18,125.91
1770824430.338068,55,4.202851,0.0003,2053.80,124.65
1770824430.464394,56,4.156360,0.0003,2031.05,126.04
1770824430.585726,57,4.210842,0.0003,2114.68,121.06
1770824430.711505,58,4.262409,0.0003,2040.21,125.48
1770824430.840192,59,4.165952,0.0003,1995.40,128.29
1770824430.991368,60,4.150912,0.0003,1699.22,150.66
1770824431.117603,61,4.245043,0.0003,2033.56,125.89
1770824431.240610,62,4.143603,0.0003,2086.47,122.70
1770824431.373033,63,4.241992,0.0003,1938.67,132.05
1770824431.522226,64,4.163461,0.0003,1719.83,148.85
1770824431.643008,65,4.213144,0.0003,2125.77,120.43
1770824431.768576,66,4.150852,0.0003,2045.44,125.16
1770824431.900245,67,4.173820,0.0003,1949.06,131.35
1770824432.029539,68,4.131744,0.0003,1985.80,128.92
1770824432.154721,69,4.167828,0.0003,2050.50,124.85
1770824432.280240,70,4.133296,0.0003,2044.73,125.20
1770824432.410092,71,4.145353,0.0003,1975.82,129.57
1770824432.533477,72,4.162235,0.0003,2079.85,123.09
1770824432.658657,73,4.133728,0.0003,2049.82,124.89
1770824432.780506,74,4.170221,0.0003,2105.90,121.56
1770824432.906029,75,4.131310,0.0003,2044.40,125.22
1770824433.030243,76,4.080283,0.0003,2067.52,123.82
1770824433.153820,77,4.112596,0.0003,2076.44,123.29
1770824433.274966,78,4.081799,0.0003,2118.12,120.86
1770824433.399541,79,4.130681,0.0003,2059.83,124.28
1770824433.516113,80,4.098400,0.0003,2202.13,116.25
1770824433.639402,81,4.097072,0.0003,2082.69,122.92
1770824433.757651,82,4.134156,0.0003,2171.04,117.92
1770824433.878200,83,4.101605,0.0003,2129.36,120.22
1770824433.995324,84,4.163472,0.0003,2190.94,116.84
1770824434.118342,85,4.110305,0.0003,2085.69,122.74
1770824434.243029,86,4.088968,0.0003,2058.33,124.37
1770824434.364445,87,4.136873,0.0003,2115.23,121.03
1770824434.488755,88,4.116756,0.0003,2067.48,123.82
1770824434.628360,89,4.172734,0.0003,1841.23,139.04
1770824434.757066,90,4.158582,0.0003,1995.04,128.32
1770824434.876169,91,4.121653,0.0003,2155.12,118.79
1770824434.999798,92,4.058522,0.0003,2075.90,123.32
1770824435.142121,93,4.111542,0.0003,1803.06,141.98
1770824435.266771,94,4.114099,0.0003,2059.53,124.30
1770824435.388234,95,4.098277,0.0003,2112.87,121.16
1770824435.513514,96,4.088609,0.0003,2048.77,124.95
